time_s,throttle,setpoint,brake,speed_m_s,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2
0.0000,0.0000,0.0000,0.0000,0.0980,0.0000,0.0000,-9.8000
0.0100,0.0000,0.0000,0.0000,0.1960,0.0000,0.0000,-9.8000
0.0200,0.0000,0.0000,0.0000,0.2940,0.0000,0.0000,-9.8000
0.0300,0.0000,0.0000,0.0000,0.3920,0.0000,0.0000,-9.8000
0.0400,0.0000,0.0000,0.0000,0.4900,0.0000,0.0000,-9.8000
0.0500,0.0000,0.0000,0.0000,0.5880,0.0000,0.0000,-9.8000
0.0600,0.0000,0.0000,0.0000,0.6860,0.0000,0.0000,-9.8000
0.0700,0.0000,0.0000,0.0000,0.7840,0.0000,0.0000,-9.8000
0.0800,0.0000,0.0000,0.0000,0.8820,0.0000,0.0000,-9.8000
0.0900,0.0000,0.0000,0.0000,0.9800,0.0000,0.0000,-9.8000
0.1000,0.0000,0.0000,0.0000,1.0780,0.0000,0.0000,-9.8000
0.1100,0.0000,0.0000,0.0000,1.1760,0.0000,0.0000,-9.8000
0.1200,0.0000,0.0000,0.0000,1.2740,0.0000,0.0000,-9.8000
0.1300,0.0000,0.0000,0.0000,1.3720,0.0000,0.0000,-9.8000
0.1400,0.0000,0.0000,0.0000,1.4700,0.0000,0.0000,-9.8000
0.1500,0.0000,0.0000,0.0000,1.5680,0.0000,0.0000,-9.8000
0.1600,0.0000,0.0000,0.0000,1.6660,0.0000,0.0000,-9.8000
0.1700,0.0000,0.0000,0.0000,1.7640,0.0000,0.0000,-9.8000
0.1800,0.0000,0.0000,0.0000,1.8620,0.0000,0.0000,-9.8000
0.1900,0.0000,0.0000,0.0000,1.9600,0.0000,0.0000,-9.8000
0.2000,0.0000,0.0000,0.0000,2.0580,0.0000,0.0000,-9.8000
0.2100,0.0000,0.0000,0.0000,2.1560,0.0000,0.0000,-9.8000
0.2200,0.0510,0.0000,0.0000,2.2540,0.0000,0.0000,-9.8000
0.2300,0.0510,0.0000,0.0000,2.3520,0.0000,0.0000,-9.8000
0.2400,0.0510,0.0000,0.0000,2.4500,0.0000,0.0000,-9.8000
0.2500,0.0510,0.0000,0.0000,2.5480,0.0000,0.0000,-9.8000
0.2600,0.0510,0.0000,0.0000,2.6460,0.0000,0.0000,-9.8000
0.2700,0.0510,0.0000,0.0000,2.7440,0.0000,0.0000,-9.8000
0.2800,0.0510,0.0000,0.0000,2.8420,0.0000,0.0000,-9.8000
0.2900,0.0510,0.0000,0.0000,2.8802,0.1255,-0.3150,-3.8219
0.3000,0.0510,0.0000,0.0000,2.6679,-3.3237,1.2788,21.2532
0.3100,0.0510,0.0000,0.0000,2.3618,0.3719,1.3021,30.6145
0.3200,0.0510,0.0000,0.0000,1.9843,-0.3697,-0.4164,37.7544
0.3300,0.0510,0.0000,0.0000,1.6573,0.5178,-0.6142,32.6937
0.3400,0.0510,0.0000,0.0000,1.3727,0.4652,-0.4199,28.4546
0.3500,0.0510,0.0000,0.0000,1.1256,0.3998,-0.2824,24.7111
0.3600,0.0510,0.0000,0.0000,0.9115,0.3448,-0.1866,21.4046
0.3700,0.0510,0.0000,0.0000,0.7265,0.2982,-0.1229,18.4944
0.3800,0.0510,0.0000,0.0000,0.5672,0.2583,-0.0771,15.9334
0.3900,0.0000,0.0000,0.3876,0.4304,0.2234,-0.0503,13.6741
0.4000,0.0000,0.0000,0.3876,0.3134,0.1928,-0.0272,11.6942
0.4100,0.0000,0.0000,0.3876,0.2138,0.1660,-0.0152,9.9588
0.4200,0.0000,0.0000,0.3876,0.1294,0.1422,-0.0085,8.4432
0.4300,0.0000,0.0000,0.3876,0.0583,0.1210,-0.0008,7.1060
0.4400,0.0000,0.0000,0.3876,0.0013,0.1024,0.0015,5.9524
0.4500,0.0000,0.0000,0.3876,0.0506,0.0859,0.0042,4.9405
0.4600,0.0000,0.0000,0.3876,0.0913,0.0713,0.0046,4.0618
0.4700,0.0000,0.0000,0.3876,0.1242,0.0585,0.0050,3.2983
